district,crop,pH,N,P,K,avg_temp,total_rainfall,avg_humidity,yield
Nirmal,Rice,7.0,129,73,24,26.373684062948072,851.2408019358048,43.66354307724251,6.19
Mahabubnagar,Cotton,5.0,126,49,53,34.23357927016961,807.1113655124742,64.45758888916185,4.56
Medchal Malkajgiri,Sugarcane,7.1,85,31,37,34.94550837575981,213.8853020293783,46.19831585210558,66.32
Yadadri Bhuvanagiri,Onion,5.7,106,48,48,22.014503134929644,891.5994256374111,48.754577012262104,26.8
Peddapalli,Bengal Gram,5.1,102,48,64,35.91132602308142,728.7238707733713,75.50257111498571,3.16
Komaram Bheem Asifabad,Jowar,6.2,58,48,50,25.892262489530722,367.66745937871445,82.90668449540374,2.69
Narayanpet,Bajra,5.2,150,71,25,22.766567982054998,638.067013040182,46.37953384270443,3.65
Jagtial,Red Gram,6.3,55,51,27,24.74507936419596,842.8210681155366,43.173628273829536,3.11
Hyderabad,Sugarcane,6.5,165,28,73,32.70323549579673,377.1371165502435,70.77151631147713,66.9
Medak,Bengal Gram,5.3,83,69,30,23.67512152585543,585.1330103811919,52.00720500641625,2.52
Jogulamba Gadwal,Rice,6.9,92,29,72,28.84046214879726,756.1556405874818,55.0912633980482,5.52
Warangal,Groundnut,5.1,128,41,58,33.77603871264719,718.6914075038118,80.05248196340938,4.18
Nizamabad,Soybean,5.5,67,35,47,28.18092038640882,776.2043664147344,49.606997096968456,4.01
Khammam,Bengal Gram,7.2,123,50,33,36.82063509966016,819.6195855040692,66.5605589877888,3.43
Khammam,Groundnut,5.8,135,47,52,32.94330926664255,484.23696419300273,64.18844518401436,3.75
Nagarkurnool,Groundnut,5.8,62,32,23,32.04510150341691,856.2238886370012,46.623016653271875,3.58
Komaram Bheem Asifabad,Soybean,7.4,50,58,74,29.805626671185586,841.1620298321724,41.15761949410802,3.92
Siddipet,Ragi,5.3,179,28,80,30.074941059525333,374.833659173553,55.19046215760123,4.32
Hyderabad,Maize,7.0,161,22,77,28.8282398288933,206.21858948218076,45.08849893715679,4.9
Siddipet,Sesame,7.4,108,75,47,33.176028593908036,772.6741083235459,84.94272991685983,3.52
Medchal Malkajgiri,Sugarcane,5.9,83,35,44,24.890824551999067,881.7086497596947,54.0257373373302,66.85
Medchal Malkajgiri,Soybean,6.7,151,20,49,35.75896714200396,368.6600418768842,64.56650665579033,4.12
Mancherial,Jowar,6.3,118,71,68,30.58969157259374,746.8880129629922,41.574502685648476,4.99
Narayanpet,Ragi,5.8,43,67,71,31.256035488232186,513.5542435102813,46.67256980950421,3.39
Wanaparthy,Cotton,6.1,44,45,72,28.71592959599198,437.38424781213746,49.04192939253963,3.38
Karimnagar,Maize,5.6,64,60,41,26.491726079748467,655.0826005426702,66.18950280725218,4.17
Vikarabad,Ragi,7.2,160,32,64,27.146006642083062,789.7012722783658,81.24928584733271,3.92
Rangareddy,Bajra,6.2,27,62,47,23.483894581965775,805.03373165893,44.371680553980895,3.26
Wanaparthy,Chilli,6.0,25,79,53,25.31068403880942,374.0959200168894,54.533626360189814,3.07
Hanumakonda,Bengal Gram,6.9,38,29,21,26.115731594826947,215.16443820672117,52.50587804387977,1.76
Nalgonda,Jowar,6.3,133,54,72,25.31988588262068,847.7718776776178,77.83505094439295,4.04
Jayashankar Bhupalpally,Groundnut,5.1,23,65,47,22.25826859188033,650.4365359883642,80.82156137675898,2.53
Peddapalli,Bajra,5.4,125,54,49,22.85335319112158,408.54068434828594,49.014904298477404,3.86
Komaram Bheem Asifabad,Chilli,5.4,23,40,41,26.441401348862396,841.032445478376,70.28335713693889,3.56
Mancherial,Maize,5.5,24,51,27,23.207790570529816,336.6361522067516,58.54834380697676,3.91
Nizamabad,Rice,6.2,20,66,39,23.94445986641663,892.1650125174033,70.97641658583447,4.83
Peddapalli,Chilli,7.2,118,55,70,24.227215897597723,891.3066466680646,43.15082362022026,4.55
Wanaparthy,Cotton,7.3,116,40,33,34.51201773278645,268.43123410907936,44.9944894604194,3.79
Jogulamba Gadwal,Soybean,7.2,145,51,50,34.001078786373014,410.01989271838454,53.220462328043645,4.46
Nalgonda,Sugarcane,5.3,29,44,63,24.030018346490316,408.7258891137436,80.98291675069478,65.44
Yadadri Bhuvanagiri,Ragi,7.2,112,31,28,28.63969026231554,207.68305990987886,82.77983593199002,3.53
Jayashankar Bhupalpally,Maize,6.4,41,58,54,24.46380099751829,885.0098688787538,40.29326979740136,4.07
Mulugu,Rice,5.2,100,42,69,23.298600490852806,329.66614237811314,76.82247567795412,4.71
Siddipet,Cotton,6.9,134,47,21,30.301959290043563,721.6231074315598,83.53128935822019,4.83
Rangareddy,Cotton,7.0,47,23,56,31.774036722124187,474.4192999349082,49.91309576420702,4.04
Bhadradri Kothagudem,Bengal Gram,5.5,66,59,73,36.31092613192706,511.56840244136174,82.8822559095338,3.05
Sangareddy,Bengal Gram,6.4,152,77,57,27.810413549910933,687.0502476693173,50.48921379095641,3.54
Nalgonda,Rice,5.5,89,39,77,34.09319787541496,367.7824539811553,61.21856926607033,4.6
Suryapet,Soybean,6.0,112,22,24,29.23119995777023,372.87714776182554,66.4782546194999,3.66
Hyderabad,Onion,6.1,159,62,51,36.88866853584132,629.847194051302,81.95984993145028,27.05
Khammam,Maize,5.3,141,40,41,23.121117385485007,676.9353361956072,47.66496553184143,5.48
Nirmal,Chilli,5.4,156,29,58,34.38077517115456,706.2673894174134,45.16012669949957,3.93
Mahabubnagar,Ragi,6.6,46,40,23,33.37225011948797,633.3021061405584,84.71070832568967,2.55
Suryapet,Sugarcane,6.8,155,29,32,30.409197512046493,521.5031215877375,84.05993559967465,67.28
Karimnagar,Groundnut,7.0,145,42,30,25.394976017628366,607.4045279926071,65.72963479663372,4.55
Nizamabad,Soybean,6.8,116,20,21,27.554289994957294,360.4659814867812,45.786528609151155,3.44
Yadadri Bhuvanagiri,Bengal Gram,5.8,102,76,24,32.276862512719596,720.6443713921977,53.0574206538259,2.99
Jangaon,Sunflower,5.7,75,65,48,32.43850510249593,623.0736633246781,82.25097468048885,4.04
Mahabubnagar,Ragi,6.1,128,24,49,30.341153087433543,866.4987238309142,53.565845932868854,4.0
Adilabad,Jowar,6.1,85,37,58,36.03390940524797,220.4331165523817,43.20508555660729,3.01
Hyderabad,Sunflower,6.1,142,48,35,24.19195034795384,437.2590757421573,60.527294011409694,3.39
